Date,Client Name,Client Number,Org Name,Org Type,Location,City,Business type,Products,Proposal Amount,Finally Budget,End of Date,Priority,Email,Status,Additional Remarks,Call Back Comments,Call Back,Referral Name
2024-01-13,Benjamin Garcia,917164773941,Thomas PLC,Interior,USA,Thambaram,Recurring,Meta Ads,41634,74444,2024-06-15,High,spencebrian@example.org,Call Back,Early Mrs kitchen.,Partner sort peace a chance work.,2024-01-13,Prasath
2024-04-03,Maria Wilson,917884158301,Love-Ward,Interior,India,Namakkal,One Time,Google Ads,8302,11135,2024-02-09,Medium,wherrera@example.org,Call Back,Score TV thing single range not.,Point room weight hit former environmental.,2024-04-03,Prasath
2024-02-11,Tiffany Walker,917711696184,"Salinas, Sanchez and Larsen",Hospital,India,Madhurai,One Time,Branding,80362,96447,2024-04-14,Medium,felicia89@example.com,Do Not Disturb,Ability suddenly instead seek in run me.,First test bag few third sure character without.,2024-02-11,Ravi Kumar
2024-05-14,Sarah Townsend,916159556569,Manning-Rivera,Others,UK,Paramakudi,One Time,SMM,95989,93017,2024-06-18,Low,lstewart@example.net,Hold,Field class indeed similar deep.,Nature must attack system.,2024-05-14,Prasath
2024-02-13,Lisa Shaw,916189899407,Mcintosh Ltd,Hospital,USA,Chennai,One Time,Video Editing,7897,89862,2024-06-30,Low,rlopez@example.com,Hold,Official under city base simply politics quickly.,Rock area top lawyer young fact Republican forget.,2024-02-13,Arun Kumar
2024-06-30,Zachary Dalton,919358014408,"Conner, Cook and Brewer",Others,USA,Salam,Recurring,Website,66031,81086,2024-01-25,Medium,cmullins@example.com,Closed,Push provide travel member.,Happy career someone when agent.,2024-06-30,Prasath
2024-02-16,Eric Perez,919084042441,Hanson Group,Restaurant,USA,Chennai,One Time,Google Ads,67003,35948,2024-01-04,Low,tylerjustin@example.com,Fresh,Over college police box pay.,Concern rest say loss letter ground catch model.,2024-02-16,Vignesh
2024-01-08,Kristen Bailey,918124647335,Hodges-Andrews,Restaurant,Malaysia,Chennai,Recurring,Google Ads,43177,25380,2024-04-05,Low,fwolf@example.net,Closed,Entire that spring brother phone.,Past stay century.,2024-01-08,Arun Kumar
2024-05-26,Jennifer Hood,919544402320,"Mullins, Ruiz and Holt",Others,Malaysia,Paramakudi,One Time,Meta Ads,80074,29531,2024-02-09,Medium,manuel25@example.org,Follow up,Main human religious friend yes same.,Behind present take our event.,2024-05-26,Arun Kumar
2024-04-08,Jennifer Preston,916866239002,Scott-Collier,Hospital,USA,Thambaram,Recurring,Video Editing,26166,13505,2024-05-02,Low,stevenmendez@example.org,Do Not Disturb,Give seek produce weight end.,Magazine lead hold myself growth fall.,2024-04-08,Ravi Kumar
2024-07-02,Adriana Smith,916725877168,Ortiz Group,Restaurant,Singapore,Thambaram,Recurring,CRM,65400,27041,2024-05-08,Medium,vincentbilly@example.org,Proposed,Soon read four result music.,Rest throw three small agree live.,2024-07-02,Arun Kumar
2024-03-19,Nicole Brown,919619402667,Duke LLC,Interior,India,Paramakudi,One Time,Video Editing,56866,86712,2024-04-29,High,michaelorr@example.net,Proposed,Top see range us.,Foreign find big.,2024-03-19,Arun Kumar
2024-04-09,Kevin Mora,918362194269,Vega LLC,Interior,Japan,Karaikudi,Recurring,Video Editing,91476,31011,2024-05-07,Low,jacqueline94@example.org,Hold,Entire production simple.,American plant field security knowledge start cup.,2024-04-09,Prasath
2024-06-04,Alice Brown,918395432333,Moses-Lynn,Interior,Japan,Salam,Recurring,Design,19610,85295,2024-06-06,High,erodriguez@example.org,Fresh,Pull in letter nor.,Over under right whom so.,2024-06-04,Vignesh
2024-06-10,Isaiah Mitchell,917075804615,Rojas-Gonzales,Restaurant,Malaysia,Karaikudi,Recurring,Meta Ads,95440,72789,2024-01-17,Low,mooreryan@example.net,Hold,Help describe coach animal true.,Talk vote section pattern me.,2024-06-10,Vignesh
2024-01-29,Ian Myers,917718388809,Newton and Sons,Interior,Japan,Madhurai,One Time,CRM,88756,78007,2024-02-13,Low,billydavis@example.net,Hold,Man push box clearly dog.,Song kind risk bed change if try.,2024-01-29,Vignesh
2024-05-13,Barbara Fuller,917524714822,Tanner Group,Restaurant,Singapore,Sengalpattu,Recurring,Marketing,60067,82861,2024-03-08,Medium,maxwellsteve@example.com,Follow up,Deal really catch should third trade Republican.,There buy back tonight include.,2024-05-13,Prasath
2024-03-26,Craig Woods,919859707844,"Sullivan, Brown and Ellison",Interior,Japan,Pudukkottai,Recurring,SMM,88152,48194,2024-05-19,Low,hodgesjoseph@example.net,Do Not Disturb,Firm hour run travel carry fine avoid.,Drug church fund recent.,2024-03-26,Sathish
2024-03-15,Chase Bender,918585669141,Martin-Lawrence,Hospital,UK,Paramakudi,One Time,Design,20019,54156,2024-03-11,Low,foxrebecca@example.com,Call Back,Evening information cut institution.,Voice he well rise part.,2024-03-15,Vignesh
2024-04-03,Adam Alexander,917720497513,Conrad-Beck,Interior,Japan,Salam,One Time,CRM,32031,85726,2024-03-10,High,fwilliams@example.org,Fresh,Throw present computer public attention.,Power financial house listen ability.,2024-04-03,Ravi Kumar
2024-05-24,Keith Russell,918184875123,Garza-Weaver,Hospital,USA,Madhurai,One Time,Google Ads,19781,27507,2024-02-12,Low,donald09@example.com,Call Back,Control yourself interest.,Kind our rate argue break subject structure choose.,2024-05-24,Sathish
2024-01-01,Amanda Garcia,917941771825,Gonzalez PLC,Restaurant,UK,Chennai,One Time,Google Ads,62192,48902,2024-04-23,Low,holdenwilliam@example.net,Fresh,Whose sport also wrong development official like.,Challenge ok another might risk moment.,2024-01-01,Ravi Kumar
2024-03-02,Francisco Christensen,918797235498,Moore-Payne,Restaurant,Japan,Paramakudi,One Time,Meta Ads,63052,60855,2024-03-03,Medium,cheryl73@example.org,Proposed,Ten gun little others south ever stock.,Who from open bag all sometimes year community.,2024-03-02,Arun Kumar
2024-01-11,Erin Reed,918643447662,"Watson, Moreno and Barrett",Interior,Malaysia,Salam,Recurring,Branding,55850,36099,2024-04-13,Low,butlertara@example.com,Hold,One perhaps hit trouble.,Forward write sort brother country success.,2024-01-11,Sathish
2024-05-28,David Sanford,916629416975,"Davenport, Chapman and Good",Others,Singapore,Namakkal,Recurring,CRM,65046,82809,2024-03-23,Medium,hodgenathan@example.net,Follow up,Statement huge bed building local.,Live week single apply market admit.,2024-05-28,Vignesh
2024-01-11,Melissa Tucker,919937988987,"Robinson, Harris and Nelson",Restaurant,Japan,Namakkal,One Time,CRM,42186,69223,2024-04-08,Medium,blackyolanda@example.net,Closed,Pull discussion church without can three others whole.,Step before as cause goal.,2024-01-11,Vignesh
2024-03-10,Thomas Hunter,919563036441,Boyd-Barrett,Others,Japan,Madhurai,One Time,Branding,17626,69684,2024-02-26,High,nharris@example.com,Follow up,With church unit although star voice team.,Effort challenge although every.,2024-03-10,Ravi Kumar
2024-01-18,Robert Buchanan,919226477837,Hogan LLC,Hospital,Singapore,Salam,Recurring,Website,49678,54434,2024-03-20,Low,erinkaiser@example.org,Proposed,Black deal rise door however case.,Score eye sport speech road.,2024-01-18,Arun Kumar
2024-03-11,Miss Patricia Brown,916150317131,Watson-Willis,Others,UK,Salam,One Time,Meta Ads,84346,60311,2024-04-30,High,lindseylauren@example.com,Hold,Easy scene study sit activity action.,New always attack citizen movement decide old.,2024-03-11,Arun Kumar
2024-04-21,William Webb,919736833630,Zuniga Ltd,Others,India,Thambaram,One Time,Design,3535,54093,2024-05-15,Low,hrojas@example.com,Follow up,Expect religious employee actually already.,Word pass safe nation your baby model.,2024-04-21,Sathish
2024-02-10,Joseph James,919788301203,Becker Ltd,Hospital,Malaysia,Pudukkottai,One Time,Website,2102,68105,2024-03-09,Low,stephensullivan@example.com,Call Back,Fly himself ever effort seem decision sometimes.,Democrat address street run particular above big.,2024-02-10,Arun Kumar
2024-05-24,Michelle Mills,919032581343,Gomez Group,Hospital,Malaysia,Karaikudi,One Time,Marketing,32337,61734,2024-02-23,High,smiththomas@example.org,Closed,This evidence act catch special Democrat who.,Record fall indeed last.,2024-05-24,Vignesh
2024-03-09,Hannah Page,918955836261,"Butler, Wagner and Walker",Hospital,Malaysia,Thambaram,Recurring,SMM,36143,85873,2024-05-23,High,crosskenneth@example.com,Call Back,Set can four wait impact policy nor.,Both stay around state face risk.,2024-03-09,Ravi Kumar
2024-01-23,Kimberly Rivas,916107347154,Welch-Castillo,Restaurant,India,Namakkal,One Time,Website,29634,73145,2024-03-30,High,markwilson@example.net,Fresh,System may over year.,Director law kid society almost end fear.,2024-01-23,Prasath
2024-04-14,Valerie Garcia,916311732126,Robinson LLC,Interior,India,Salam,Recurring,SMM,18555,65665,2024-01-19,High,anorman@example.net,Follow up,Mr name process rest study call.,Increase study more.,2024-04-14,Arun Kumar
2024-05-10,Kelly Weaver,917951376167,Vang LLC,Interior,UK,Salam,One Time,Website,57334,70944,2024-05-20,High,shaunwright@example.org,Fresh,Yes drop actually ready hospital.,Story minute tell inside stuff Democrat describe read.,2024-05-10,Arun Kumar
2024-02-05,Tina Frederick,918539525049,Guerrero-Shepherd,Hospital,Japan,Karaikudi,One Time,Google Ads,67424,48009,2024-05-18,High,tammylee@example.org,Closed,Century edge we model.,Even man bring TV about three technology.,2024-02-05,Prasath
2024-03-16,Brian Mclean,917031032207,Lewis-Johnson,Hospital,UK,Sengalpattu,Recurring,Video Editing,99792,30418,2024-03-29,Low,nicholas92@example.com,Hold,Line around occur sound see stay recognize.,Treatment fly still consider value.,2024-03-16,Arun Kumar
2024-04-11,Diane Roman,918982062265,Jones-Ortiz,Others,India,Madhurai,Recurring,CRM,20014,67752,2024-03-08,Low,nicholas26@example.org,Closed,Customer speech beautiful seek expert however strategy.,Despite hit ahead fear war.,2024-04-11,Sathish
2024-04-10,Denise Jordan,919600842211,"Allen, Garrett and Williams",Interior,UK,Erodu,Recurring,Google Ads,87191,41305,2024-04-12,Low,bretthaynes@example.net,Proposed,Out I option understand allow together.,Those upon a.,2024-04-10,Vignesh
2024-04-23,Troy King,919737504519,"Lee, Smith and Valdez",Restaurant,UK,Karaikudi,Recurring,Branding,32092,47322,2024-01-06,Low,wpayne@example.com,Hold,Same audience live sometimes hour throughout you.,Between kitchen machine society.,2024-04-23,Prasath
2024-04-06,Brenda Brown,917771389710,"Pitts, Mcgee and Mcdonald",Restaurant,India,Chennai,One Time,CRM,40528,68709,2024-04-29,Low,samuelblack@example.net,Fresh,Window all accept southern party financial.,Turn something entire us campaign.,2024-04-06,Sathish
2024-01-01,Joseph Smith,916326116806,Sullivan-Cole,Interior,India,Sengalpattu,One Time,SMM,64851,1807,2024-05-20,Low,tyler34@example.net,Do Not Disturb,Staff professional next respond performance safe.,Keep both daughter really artist.,2024-01-01,Ravi Kumar
2024-04-04,Gary Oconnor MD,916352324880,Martin Group,Restaurant,USA,Chennai,Recurring,Marketing,11258,39607,2024-05-07,Medium,paulcox@example.com,Follow up,Attention executive military deal remember guy.,Politics difficult present available they article gun.,2024-04-04,Vignesh
2024-05-07,Wendy Good,918103904786,Clark Inc,Interior,USA,Sengalpattu,One Time,Meta Ads,41116,45515,2024-04-27,Low,nicole30@example.com,Proposed,Now main major approach message medical.,Nice indeed heart deep.,2024-05-07,Ravi Kumar
2024-01-02,Kristen Taylor,916594210760,"Welch, Mcconnell and Conrad",Restaurant,India,Namakkal,One Time,Marketing,97192,35082,2024-04-21,High,shane42@example.com,Do Not Disturb,Contain about drug seem.,Goal bad single yard very partner store.,2024-01-02,Prasath
2024-02-01,Jacob Russell,916057091827,Bell Ltd,Others,Singapore,Erodu,One Time,Branding,20935,63605,2024-01-01,Medium,lindsey97@example.net,Fresh,Southern reach center article movie.,Better no sometimes fear good worry contain.,2024-02-01,Ravi Kumar
2024-06-02,Bryan Nelson,917192177756,Grimes-Villa,Restaurant,India,Pudukkottai,One Time,CRM,85281,16965,2024-01-08,Low,suzannecarter@example.net,Follow up,Manager year conference who the involve.,Ever I east environment out if usually.,2024-06-02,Arun Kumar
2024-06-05,Karen Paul,918054380632,Baker Ltd,Restaurant,Singapore,Sengalpattu,Recurring,Branding,18877,67594,2024-03-25,Low,lisaferguson@example.com,Call Back,Ask able heavy bring.,Course personal board air others east population.,2024-06-05,Prasath
2024-05-17,Tony Andrews,916968174531,Griffin-Rodriguez,Hospital,USA,Thambaram,Recurring,Branding,29088,90494,2024-04-01,Medium,walkerbeverly@example.com,Fresh,Easy former cold ability quite appear.,Scene such action know bad.,2024-05-17,Ravi Kumar
2024-01-29,Helen Shelton,917060023543,Cunningham-Nguyen,Interior,Singapore,Namakkal,One Time,CRM,33022,36187,2024-01-20,Low,shawjulie@example.org,Hold,Sell wall write or network financial sometimes.,Idea pull remain cup.,2024-01-29,Arun Kumar
2024-03-08,William Ramirez,917448377888,"Morris, Fields and Parker",Hospital,Singapore,Paramakudi,Recurring,CRM,45762,3419,2024-01-06,High,rmoreno@example.org,Follow up,Ask college center question public.,Face thank maybe financial remember.,2024-03-08,Ravi Kumar
2024-05-25,Teresa Maddox,918840728060,Perez Ltd,Restaurant,Malaysia,Madhurai,One Time,SMM,83483,48364,2024-05-06,High,ashlee27@example.net,Fresh,Back month morning.,College now might blood site source information.,2024-05-25,Sathish
2024-06-30,Leah Smith,917617519877,"Campbell, Galvan and Noble",Restaurant,UK,Chennai,Recurring,Marketing,76128,22574,2024-04-25,Low,tammygonzalez@example.com,Closed,True seat network position firm walk.,Machine low interest partner group.,2024-06-30,Arun Kumar
2024-01-21,Thomas King,916165924386,"Lozano, Gardner and Hunter",Others,India,Karaikudi,One Time,SMM,58922,57427,2024-05-05,High,parkerashley@example.net,Call Back,Sign president say approach.,Time society computer us time government be.,2024-01-21,Sathish
2024-01-15,Taylor Ramirez,919230827314,Howell-Dennis,Others,Singapore,Chennai,Recurring,Video Editing,63582,18381,2024-03-14,Medium,ochoajames@example.net,Proposed,Many game group sense.,Heavy arrive find find improve.,2024-01-15,Arun Kumar
2024-03-02,Jerry Allen,916357984793,Stephenson Group,Hospital,USA,Salam,Recurring,Meta Ads,61489,80192,2024-04-04,Medium,tmercado@example.org,Do Not Disturb,Behavior entire nature.,Trouble herself consider full from when.,2024-03-02,Arun Kumar
2024-06-09,Valerie Duran,919971785221,Grimes PLC,Interior,USA,Chennai,One Time,Video Editing,7709,98875,2024-01-30,Medium,bmartin@example.net,Hold,Use provide yard strong.,During of include top machine.,2024-06-09,Ravi Kumar
2024-04-08,Stephanie Houston,917328565930,Garcia Inc,Interior,USA,Madhurai,Recurring,Meta Ads,37525,64382,2024-05-18,Low,lacey47@example.org,Closed,Record idea walk drop drug.,How itself low mouth project.,2024-04-08,Sathish
2024-03-22,Billy Anderson,918358863560,Allen-Chandler,Hospital,Singapore,Thambaram,Recurring,Google Ads,65538,23890,2024-04-30,High,caitlyn89@example.net,Hold,Support real role push million body.,Listen want various reflect garden benefit.,2024-03-22,Vignesh
2024-04-02,Brandon Little DDS,916315124822,"Carter, Little and Simmons",Others,Japan,Karaikudi,One Time,Website,89741,56484,2024-03-19,Low,hschaefer@example.org,Fresh,Information people certain analysis pass month produce.,Door dog record soldier business product.,2024-04-02,Vignesh
2024-03-03,David Lane,918229150942,Miller-Hansen,Restaurant,Singapore,Karaikudi,Recurring,Video Editing,18083,5634,2024-05-15,Low,joseph84@example.net,Closed,Quite push professor tonight.,Full conference across idea remain according possible.,2024-03-03,Prasath
2024-03-10,Christopher Oliver,919072387540,"Miller, Reynolds and Johnson",Restaurant,Japan,Chennai,Recurring,Branding,47423,48750,2024-06-26,Low,sanchezpatrick@example.com,Call Back,Executive knowledge production late.,Build ability present yet.,2024-03-10,Ravi Kumar
2024-06-10,Dr. James Mclaughlin,919586399202,Thompson-Hammond,Hospital,Japan,Karaikudi,Recurring,Design,77088,55890,2024-06-10,High,stacywalker@example.net,Proposed,Establish always prove affect energy his score.,Change hospital page.,2024-06-10,Ravi Kumar
2024-04-03,Thomas Henderson,919653198284,Rose LLC,Others,India,Paramakudi,One Time,Marketing,24208,83822,2024-06-04,Low,rodriguezamanda@example.com,Fresh,North fire seem deep dinner.,Family line sister clear.,2024-04-03,Prasath
2024-04-18,Peter Miller,919152427847,Ford-Willis,Restaurant,UK,Chennai,One Time,Meta Ads,28469,99700,2024-05-08,Medium,jasonryan@example.org,Hold,There executive hand sing energy state.,Official both sense arm question maybe along.,2024-04-18,Arun Kumar
2024-01-31,Danny Frazier,916777905254,Mills-Rush,Interior,Singapore,Salam,One Time,SMM,63627,35652,2024-05-01,Medium,michelle84@example.com,Hold,Star beat door citizen.,Main fear begin nearly energy stand hair.,2024-01-31,Sathish
2024-06-02,Kristen Hernandez,916093977516,"Yang, Osborne and Chaney",Interior,UK,Salam,Recurring,Google Ads,72819,6972,2024-04-11,Low,anthony37@example.net,Follow up,Hospital describe art full why.,As sound ago improve energy.,2024-06-02,Ravi Kumar
2024-04-27,Robert Wagner,918194312123,"Turner, Carr and Taylor",Restaurant,India,Salam,Recurring,Meta Ads,26530,69493,2024-03-30,Low,jennifer18@example.net,Call Back,If happen bag simple.,Bar herself position in production.,2024-04-27,Sathish
2024-05-19,Douglas Carter DDS,919718007110,"Welch, Taylor and Brown",Hospital,Japan,Erodu,Recurring,Website,68060,86229,2024-05-24,High,lanedaniel@example.net,Fresh,Adult rather upon piece if according claim ahead.,Police authority rather.,2024-05-19,Sathish
2024-04-22,Denise Bowman,916696640562,Pacheco-Meyer,Others,Japan,Madhurai,Recurring,Meta Ads,47708,34698,2024-06-07,High,bpadilla@example.org,Call Back,Nation yes watch gas.,By once its set system whole.,2024-04-22,Sathish
2024-07-03,Shane Jones,916302353297,Hancock-Thompson,Restaurant,Japan,Madhurai,Recurring,SMM,3671,57706,2024-04-23,Medium,deanholt@example.net,Fresh,At film by everybody join.,Science along talk rule decade school side production.,2024-07-03,Prasath
2024-04-03,Jessica Hampton,917060942561,Wilcox-Petty,Others,Singapore,Madhurai,One Time,CRM,66797,99338,2024-03-31,Low,jamiemcdonald@example.net,Proposed,Message technology each take perhaps cause increase.,Put ahead ago to.,2024-04-03,Prasath
2024-03-30,Kevin Davis,917863662482,"Turner, Cox and Hill",Restaurant,Singapore,Pudukkottai,One Time,Meta Ads,2225,2556,2024-06-15,High,qmartinez@example.net,Hold,Ability unit black determine site simply.,Specific response head citizen stuff.,2024-03-30,Arun Kumar
2024-02-05,Virginia Yoder,918676405902,Price-Jacobs,Others,USA,Sengalpattu,Recurring,Google Ads,22967,56827,2024-03-25,Low,katherine66@example.com,Call Back,Probably foot from.,Campaign establish ask rather.,2024-02-05,Ravi Kumar
2024-03-13,Kristen Johnson,916844293399,Williams-Cox,Hospital,USA,Sengalpattu,One Time,Website,53431,35572,2024-02-18,High,codywalsh@example.net,Do Not Disturb,Peace hundred worker really.,Stuff tell show.,2024-03-13,Arun Kumar
2024-03-12,Holly Patel,919551815860,Bryan PLC,Restaurant,UK,Chennai,One Time,Google Ads,67887,79604,2024-04-06,High,courtneybryant@example.net,Hold,Teach notice write inside.,Author voice nothing note center situation drug.,2024-03-12,Vignesh
2024-04-15,Shelby Simmons,916094095153,"Thompson, Johnson and Bradley",Interior,Japan,Paramakudi,Recurring,Design,30916,72393,2024-04-07,High,kwhite@example.org,Do Not Disturb,Country of most dark read drug understand.,Raise simple expert do.,2024-04-15,Ravi Kumar
2024-04-09,Timothy Anderson,917937981023,Palmer Inc,Interior,India,Madhurai,One Time,Google Ads,88829,52368,2024-01-23,High,nathan17@example.org,Call Back,Quality find three since.,Approach person system recognize nation tend.,2024-04-09,Prasath
2024-07-03,Dr. Crystal Hernandez,919220591182,Richardson-York,Restaurant,India,Karaikudi,One Time,Meta Ads,1681,20361,2024-06-10,High,bobby81@example.net,Closed,Fear best campaign relate.,Describe career scientist window nice.,2024-07-03,Ravi Kumar
2024-01-02,Amber Arnold,919526698182,Gomez Group,Hospital,Malaysia,Karaikudi,Recurring,Website,10386,18031,2024-01-06,Low,prestonryan@example.net,Follow up,Work medical pattern citizen.,Body break institution natural east.,2024-01-02,Ravi Kumar
2024-05-04,Taylor Guzman,919140560657,White-Garcia,Others,Malaysia,Karaikudi,One Time,CRM,61672,92853,2024-01-21,Medium,robinsmith@example.org,Fresh,Maintain benefit care month than cold shake.,Late mean second minute other anyone question.,2024-05-04,Sathish
2024-06-02,Stephen Wade,918255556552,Miller-Curry,Hospital,Japan,Madhurai,One Time,Website,17176,13296,2024-04-13,Medium,mpowell@example.com,Hold,Economic trouble standard value exist.,Respond interesting member scene sometimes.,2024-06-02,Ravi Kumar
2024-05-06,David Nelson,918718754165,Williamson-Escobar,Others,Malaysia,Sengalpattu,Recurring,Design,22451,75000,2024-03-09,Medium,tina17@example.com,Follow up,Necessary pattern its way quickly.,Raise land where catch bed.,2024-05-06,Ravi Kumar
2024-06-10,Jason Miller,918181819653,Cisneros-Tucker,Interior,Malaysia,Madhurai,One Time,Design,92350,25419,2024-03-28,Low,travismccall@example.org,Do Not Disturb,Her line dinner foot.,Price fall partner culture ask.,2024-06-10,Prasath
2024-06-12,Preston Spencer,918678173665,Mendoza-Castro,Others,Malaysia,Namakkal,One Time,Google Ads,80119,58146,2024-02-18,Medium,amanda16@example.com,Do Not Disturb,Bed hand lot make group rock.,Price art last production bring he during.,2024-06-12,Vignesh
2024-06-03,Kevin Graham,917930389623,"Bolton, Cisneros and Forbes",Others,USA,Madhurai,One Time,CRM,96253,86742,2024-03-05,High,ulewis@example.net,Closed,About fact yes.,Go born create learn war.,2024-06-03,Vignesh
2024-02-11,Marissa Thomas,918977657855,Mitchell-Walls,Others,Singapore,Salam,One Time,Website,33658,35180,2024-04-23,High,gonzalesjohn@example.org,Closed,Among partner interesting compare person the any serve.,Support sport federal million approach.,2024-02-11,Sathish
2024-05-28,Anthony Murphy,917093594764,"Spencer, Vega and Fields",Hospital,Malaysia,Salam,One Time,SMM,62104,42730,2024-02-29,Low,tonyaallen@example.com,Fresh,Prove grow lay decide.,Very serious manage spring low arm.,2024-05-28,Sathish
2024-03-17,Paul Wilson,919534320807,Duncan PLC,Restaurant,USA,Erodu,Recurring,Meta Ads,72468,21857,2024-05-16,Low,piercepenny@example.org,Do Not Disturb,Tell opportunity when never seat.,City appear scene pattern.,2024-03-17,Vignesh
2024-06-09,Samuel Baldwin,918098620768,Smith Ltd,Restaurant,Malaysia,Karaikudi,Recurring,Meta Ads,67255,38352,2024-04-23,Low,angienewman@example.org,Proposed,Condition own compare number often finally.,Administration each American defense.,2024-06-09,Arun Kumar
2024-03-10,Angela Richardson,916569195746,"Davis, Nguyen and Phillips",Hospital,Singapore,Namakkal,One Time,Google Ads,15092,77269,2024-01-16,Medium,leslieoconnor@example.com,Call Back,Guess population notice same media lay.,Friend good wonder financial create however goal.,2024-03-10,Arun Kumar
2024-01-17,Lisa Walker DVM,917698470289,Price-Castillo,Hospital,Singapore,Chennai,Recurring,Website,5760,84232,2024-05-25,High,stevenpowell@example.net,Closed,Reflect respond skill popular fear action.,Weight though plan week rate five say.,2024-01-17,Vignesh
2024-06-02,Karen Cooper,916356884528,"Weaver, Branch and Wells",Hospital,India,Paramakudi,One Time,Design,66384,91625,2024-04-27,High,ryanrowe@example.net,Call Back,Assume theory sister hour sit cell.,Usually employee country money paper.,2024-06-02,Ravi Kumar
2024-05-31,Sheila Mendoza,916687075685,Warren Inc,Others,USA,Salam,One Time,Website,12622,25872,2024-06-02,High,stephanie35@example.net,Fresh,American cut trade walk letter arm there.,Program so sound fish ball base debate.,2024-05-31,Prasath
2024-04-14,John Hahn,919853395803,Evans-Andrews,Hospital,USA,Salam,Recurring,CRM,65026,13733,2024-04-23,High,louis00@example.org,Hold,Likely than choice into see fine hundred quality.,Avoid plan agency yet radio purpose.,2024-04-14,Sathish
2024-02-04,Chad Anderson,916990634343,Brown-Wang,Hospital,India,Pudukkottai,One Time,Google Ads,93333,27688,2024-02-16,High,farmertodd@example.net,Hold,Spend white send important anyone down officer.,Poor themselves miss good.,2024-02-04,Arun Kumar
2024-05-15,Andrew Gibbs,917787362252,Howard PLC,Hospital,Malaysia,Erodu,Recurring,CRM,50415,17350,2024-05-14,Low,michael05@example.org,Closed,College close age morning beautiful job.,Focus prevent me water because machine issue.,2024-05-15,Sathish
2024-02-12,Wesley Sanchez,916628727055,Martinez LLC,Hospital,UK,Erodu,One Time,Google Ads,79502,16823,2024-05-23,Medium,jonsmith@example.com,Closed,People throw project down.,Question tend age bring move.,2024-02-12,Ravi Kumar
2024-03-06,Alec Lester,918565010305,Smith-Tucker,Restaurant,Malaysia,Madhurai,One Time,Branding,39778,60455,2024-02-19,Medium,nnelson@example.org,Proposed,Now happy kid establish.,Wife quite hotel result yourself.,2024-03-06,Vignesh
2024-02-03,Donna Rivers,919424405156,Poole Ltd,Interior,Singapore,Paramakudi,Recurring,Branding,26660,11685,2024-01-13,Low,richardmyers@example.com,Do Not Disturb,Throw finally oil beyond suffer.,Attack citizen particular next music accept.,2024-02-03,Arun Kumar
2024-01-03,Jose Irwin,917230221756,Brown-Mcclain,Hospital,UK,Thambaram,Recurring,Design,49876,63788,2024-06-16,High,jacobduarte@example.com,Hold,Congress require everything seat themselves.,Understand education represent later campaign final worker.,2024-01-03,Vignesh
2024-01-05,Paul Davenport,918827372631,"Dunlap, Gibson and Brown",Interior,USA,Namakkal,One Time,CRM,96814,30918,2024-05-09,Medium,jonathan91@example.org,Proposed,Current yard concern could.,Mouth suggest trouble wish his couple population.,2024-01-05,Vignesh
2024-04-11,Heather Osborne,918185018230,"Wang, Henderson and Schmidt",Restaurant,Japan,Salam,Recurring,Video Editing,13216,60141,2024-05-17,Medium,collinsjenna@example.com,Fresh,Them seem fear level.,Thus national behavior collection.,2024-04-11,Sathish
2024-03-24,Christopher Simpson,919733130212,Walters Ltd,Interior,Japan,Namakkal,One Time,Design,73487,44690,2024-02-19,Low,zacharyingram@example.com,Call Back,Fast strategy shake imagine responsibility.,Scientist media sister message interview realize.,2024-03-24,Ravi Kumar
2024-02-23,Brandon Myers,917389637718,"Greene, Steele and Warner",Interior,USA,Pudukkottai,One Time,Video Editing,94399,59653,2024-01-12,High,mcbriderichard@example.org,Closed,Soon someone energy number purpose short them later.,Other fear do authority.,2024-02-23,Ravi Kumar
2024-03-27,Walter Tucker,918568055873,Carroll Inc,Interior,Malaysia,Sengalpattu,Recurring,Meta Ads,81510,96271,2024-01-07,High,santosdavid@example.org,Closed,Benefit reason kid spring.,Between training development girl.,2024-03-27,Vignesh
2024-04-27,Michael Tate,916755509584,Petty and Sons,Hospital,Malaysia,Salam,Recurring,SMM,24437,23415,2024-05-16,Low,adkinschristopher@example.net,Proposed,Performance player memory.,Six forward stop.,2024-04-27,Ravi Kumar
2024-02-26,Rebecca Norris,919084681421,Patel-White,Restaurant,India,Salam,Recurring,Google Ads,65241,61035,2024-01-11,Medium,adrianball@example.com,Call Back,Democratic manager particularly apply fire.,Order past on party hold finally two.,2024-02-26,Sathish
2024-06-15,Jason Wagner,918352321867,Willis PLC,Restaurant,USA,Chennai,Recurring,Branding,78155,39583,2024-05-18,Low,sonia84@example.com,Hold,Guy themselves before about you.,Service write first card like past.,2024-06-15,Ravi Kumar
2024-06-12,Melissa Hall,917691574842,"Dean, Martinez and Soto",Restaurant,Singapore,Salam,One Time,Google Ads,81877,33523,2024-06-23,Medium,richardchaney@example.org,Do Not Disturb,Poor guess partner feel finally.,Traditional thousand fast third international.,2024-06-12,Arun Kumar
2024-07-03,Kathy Horton,919985417667,Sandoval-Mitchell,Others,Japan,Pudukkottai,One Time,Google Ads,75367,53280,2024-06-18,High,kimberlysantos@example.com,Hold,Tell page contain always color me few.,Report summer friend rich ability.,2024-07-03,Sathish
